file,line,config_object,enclosing_class,key,value_kind,domain,default,description
idaes/apps/caprese/dynamic_block.py,73,CONFIG,_DynamicBlockData,tee,ConfigValue,bool,True,
idaes/apps/caprese/dynamic_block.py,82,CONFIG,_DynamicBlockData,outlvl,ConfigValue,,idaeslog.INFO,
idaes/apps/grid_integration/coordinator.py,114,config,DoubleLoopCoordinator,bidding_generator,ConfigValue,str,None,Specifies the generator we derive bidding strategies for.
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,180,CONFIG,DesignModelData,model_func,ConfigValue,,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,186,CONFIG,DesignModelData,model_args,ConfigValue,,{},
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,193,CONFIG,DesignModelData,fixed_design_data,ConfigValue,dict,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,200,CONFIG,DesignModelData,variable_design_data,ConfigValue,is_valid_variable_design_data,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,324,CONFIG,OperationModelData,model_func,ConfigValue,,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,330,CONFIG,OperationModelData,model_args,ConfigValue,,{},
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,337,CONFIG,OperationModelData,declare_op_vars,ConfigValue,Bool,True,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,348,CONFIG,OperationModelData,declare_lmp_param,ConfigValue,Bool,True,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,359,CONFIG,OperationModelData,polynomial_surrogate_data,ConfigValue,is_valid_polynomial_surrogate_data,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,367,CONFIG,OperationModelData,design_block_name,ConfigValue,str,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,374,CONFIG,OperationModelData,commodity,ConfigValue,str,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,381,CONFIG,OperationModelData,capacity,ConfigValue,,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,385,CONFIG,OperationModelData,op_range_lb,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,392,CONFIG,OperationModelData,minimum_up_time,ConfigValue,PositiveInt,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,403,CONFIG,OperationModelData,minimum_down_time,ConfigValue,PositiveInt,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,414,CONFIG,OperationModelData,startup_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,421,CONFIG,OperationModelData,shutdown_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,428,CONFIG,OperationModelData,rampup_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,435,CONFIG,OperationModelData,rampdown_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,443,CONFIG,OperationModelData,startup_types,ConfigValue,is_valid_startup_types,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,568,CONFIG,StorageModelData,time_interval,ConfigValue,NonNegativeFloat,1,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,576,CONFIG,StorageModelData,charge_efficiency,ConfigValue,"is_in_range(0, 1)",1,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,584,CONFIG,StorageModelData,discharge_efficiency,ConfigValue,"is_in_range(0, 1)",1,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,592,CONFIG,StorageModelData,min_holdup,ConfigValue,_is_valid_data_type_for_storage_model,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,599,CONFIG,StorageModelData,max_holdup,ConfigValue,_is_valid_data_type_for_storage_model,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,606,CONFIG,StorageModelData,max_charge_rate,ConfigValue,_is_valid_data_type_for_storage_model,,
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,613,CONFIG,StorageModelData,max_discharge_rate,ConfigValue,_is_valid_data_type_for_storage_model,,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,69,CONFIG,,seed,ConfigValue,NonNegativeInt,20,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,77,CONFIG,,horizon_length,ConfigValue,PositiveInt,,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,84,CONFIG,,num_clusters_range,ConfigValue,"ListOf(int, PositiveInt)","(5, 30)",
idaes/apps/grid_integration/pricetaker/price_taker_model.py,92,CONFIG,,num_clusters,ConfigValue,PositiveInt,,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,99,CONFIG,,lmp_data,ConfigValue,ListOf(float),,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,108,CONFIG,,minimum_up_time,ConfigValue,PositiveInt,,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,115,CONFIG,,minimum_down_time,ConfigValue,PositiveInt,,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,124,CONFIG,,lifetime,ConfigValue,PositiveInt,,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,131,CONFIG,,discount_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,138,CONFIG,,corporate_tax_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,145,CONFIG,,annualization_factor,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,152,CONFIG,,cash_inflow_scale_factor,ConfigValue,NonNegativeFloat,,
idaes/apps/grid_integration/pricetaker/price_taker_model.py,160,CONFIG,,startup_types,ConfigValue,is_valid_startup_types,,
idaes/apps/grid_integration/pricetaker/unit_commitment.py,37,config,UnitCommitmentData,startup_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/unit_commitment.py,44,config,UnitCommitmentData,shutdown_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/unit_commitment.py,51,config,UnitCommitmentData,rampup_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/unit_commitment.py,58,config,UnitCommitmentData,rampdown_rate,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/unit_commitment.py,65,config,UnitCommitmentData,op_range_lb,ConfigValue,"is_in_range(0, 1)",,
idaes/apps/grid_integration/pricetaker/unit_commitment.py,72,config,UnitCommitmentData,capacity,ConfigValue,,,
idaes/config.py,148,cfg,ConfigBlockJSONEncoder,warning_to_exception,pyomo.common.config.ConfigValue,bool,False,Convert any logged warnings or errors to exceptions
idaes/config.py,157,cfg,ConfigBlockJSONEncoder,deprecation_to_exception,pyomo.common.config.ConfigValue,bool,False,Convert any logged deprecation warnings to exceptions
idaes/config.py,166,cfg,ConfigBlockJSONEncoder,logging,pyomo.common.config.ConfigBlock,,,Logging configuration dictionary
idaes/config.py,175,cfg['logging'],ConfigBlockJSONEncoder,version,pyomo.common.config.ConfigValue,int,1,
idaes/config.py,178,cfg['logging'],ConfigBlockJSONEncoder,disable_existing_loggers,pyomo.common.config.ConfigValue,bool,False,
idaes/config.py,182,cfg['logging'],ConfigBlockJSONEncoder,formatters,pyomo.common.config.ConfigBlock,,,
idaes/config.py,183,cfg['logging']['formatters'],ConfigBlockJSONEncoder,default_format,pyomo.common.config.ConfigBlock,,,
idaes/config.py,186,cfg['logging']['formatters']['default_format'],ConfigBlockJSONEncoder,format,pyomo.common.config.ConfigValue,str,'%(asctime)s [%(levelname)s] %(name)s: %(message)s',
idaes/config.py,192,cfg['logging']['formatters']['default_format'],ConfigBlockJSONEncoder,datefmt,pyomo.common.config.ConfigValue,str,'%Y-%m-%d %H:%M:%S',
idaes/config.py,196,cfg['logging']['formatters'],ConfigBlockJSONEncoder,blank_format,pyomo.common.config.ConfigBlock,,,
idaes/config.py,199,cfg['logging']['formatters']['blank_format'],ConfigBlockJSONEncoder,format,pyomo.common.config.ConfigValue,str,'%(message)s',
idaes/config.py,203,cfg['logging'],ConfigBlockJSONEncoder,handlers,pyomo.common.config.ConfigBlock,,,
idaes/config.py,204,cfg['logging']['handlers'],ConfigBlockJSONEncoder,console,pyomo.common.config.ConfigBlock,,,
idaes/config.py,207,cfg['logging']['handlers']['console'],ConfigBlockJSONEncoder,class,pyomo.common.config.ConfigValue,str,'logging.StreamHandler',
idaes/config.py,211,cfg['logging']['handlers']['console'],ConfigBlockJSONEncoder,formatter,pyomo.common.config.ConfigValue,str,'default_format',
idaes/config.py,215,cfg['logging']['handlers']['console'],ConfigBlockJSONEncoder,stream,pyomo.common.config.ConfigValue,str,'ext://sys.stdout',
idaes/config.py,219,cfg['logging']['handlers'],ConfigBlockJSONEncoder,console_blank,pyomo.common.config.ConfigBlock,,,
idaes/config.py,222,cfg['logging']['handlers']['console_blank'],ConfigBlockJSONEncoder,class,pyomo.common.config.ConfigValue,str,'logging.StreamHandler',
idaes/config.py,226,cfg['logging']['handlers']['console_blank'],ConfigBlockJSONEncoder,formatter,pyomo.common.config.ConfigValue,str,'blank_format',
idaes/config.py,230,cfg['logging']['handlers']['console_blank'],ConfigBlockJSONEncoder,stream,pyomo.common.config.ConfigValue,str,'ext://sys.stdout',
idaes/config.py,234,cfg['logging'],ConfigBlockJSONEncoder,loggers,pyomo.common.config.ConfigValue,dict,"{'idaes': {'level': 'INFO', 'propagate': True, 'handlers': ['console']}, 'idaes.solve': {'propagate': False, 'handlers': ['console']}, 'idaes.init': {'propag...",
idaes/config.py,250,cfg,ConfigBlockJSONEncoder,properties,pyomo.common.config.ConfigBlock,,,Physical-property-related options
idaes/config.py,258,cfg['properties'],ConfigBlockJSONEncoder,helmholtz,pyomo.common.config.ConfigBlock,,,Helmholtz equation of state configuration block
idaes/config.py,266,cfg['properties']['helmholtz'],ConfigBlockJSONEncoder,parameter_file_path,pyomo.common.config.ConfigValue,str,None,Helmholtz parameter file path
