file,line,name,base,n_members,members
idaes/core/base/control_volume1d.py,76,DistributedVars,Enum,2,variant=0;uniform=1
idaes/core/base/control_volume_base.py,55,MaterialBalanceType,Enum,6,useDefault=-1;none=0;componentPhase=1;componentTotal=2;elementTotal=3;total=4
idaes/core/base/control_volume_base.py,69,EnergyBalanceType,Enum,7,useDefault=-1;none=0;enthalpyPhase=1;enthalpyTotal=2;energyPhase=3;energyTotal=4;isothermal=5
idaes/core/base/control_volume_base.py,84,MomentumBalanceType,Enum,5,none=0;pressureTotal=1;pressurePhase=2;momentumTotal=3;momentumPhase=4
idaes/core/base/control_volume_base.py,97,FlowDirection,Enum,3,notSet=0;forward=1;backward=2
idaes/core/base/costing_base.py,163,DefaultCostingComponents,StrEnum,3,capital='capital_cost';fixed='fixed_operating_cost';variable='variable_operating_cost'
idaes/core/base/phases.py,33,PhaseType,Enum,5,undefined=0;liquidPhase=1;vaporPhase=2;solidPhase=3;aqueousPhase=4
idaes/core/base/process_base.py,67,MaterialFlowBasis,Enum,3,molar=0;mass=1;other=2
idaes/core/initialization/initializer_base.py,43,InitializationStatus,Enum,6,Ok=1;none=0;Failed=-1;DoF=-2;PrecheckFailed=-3;Error=-4
idaes/core/scaling/custom_scaler_base.py,57,ConstraintScalingScheme,StrEnum,5,harmonicMean='harmonic_mean';inverseSum='inverse_sum';inverseRSS='inverse_root_sum_squared';inverseMaximum='inverse_maximum';inverseMinimum='inverse_minimum'
idaes/core/scaling/custom_scaler_base.py,75,DefaultScalingRecommendation,StrEnum,3,userInputRecommended='User input recommended';userInputRequired='User input required';userSetManually='User set manually'
idaes/core/surrogate/alamopy.py,49,Modelers,Enum,8,BIC=1;MallowsCp=2;AICc=3;HQC=4;MSE=5;SSEP=6;RIC=7;MADp=8
idaes/core/surrogate/alamopy.py,64,Screener,Enum,3,none=0;lasso=1;SIS=2
idaes/core/surrogate/omlt_base_surrogate_class.py,115,Formulation,Enum,4,FULL_SPACE=1;REDUCED_SPACE=2;RELU_BIGM=3;RELU_COMPLEMENTARITY=4
idaes/core/surrogate/onnx_surrogate.py,93,Formulation,Enum,4,FULL_SPACE=1;REDUCED_SPACE=2;RELU_BIGM=3;RELU_COMPLEMENTARITY=4
idaes/core/util/misc.py,176,StrEnum,Enum,0,
idaes/models/costing/SSLW.py,64,HXType,StrEnum,4,floating_head='floating_head';fixed_head='fixed_head';Utube='Utube';kettle_vap='Kettle_vap'
idaes/models/costing/SSLW.py,75,HXMaterial,StrEnum,10,CarbonSteelCarbonSteel='CarbonSteelCarbonSteel';CarbonSteelBrass='CarbonSteelBrass';CarbonSteelStainlessSteel='CarbonSteelStainlessSteel';CarbonSteelMonel='CarbonSteelMonel';CarbonSteelTitanium='CarbonSteelTitanium';CarbonSteelCrMoSteel='CarbonSteelCrMoSteel';CrMoSteelCrMoSteel='CrMoSteelCrMoSteel';StainlessSteelStainlessSteel='StainlessSteelStainlessSteel';MonelMonel='MonelMonel';TitaniumTitanium='TitaniumTitanium'
idaes/models/costing/SSLW.py,92,HXTubeLength,StrEnum,4,EightFoot='8ft';TwelveFoot='12ft';SixteenFoot='16ft';TwentyFoot='20ft'
idaes/models/costing/SSLW.py,103,VesselMaterial,StrEnum,10,CarbonSteel='Carbon_steel';LowAlloySteel='LowAlloySteel';StainlessSteel304='StainlessSteel304';StainlessSteel316='StainlessSteel316';Carpenter20CB3='Carpenter20CB3';Nickel200='Nickel200';Monel400='Monel400';Inconel600='Inconel600';Incoloy825='Incoloy825';Titanium='Titanium'
idaes/models/costing/SSLW.py,120,TrayType,StrEnum,3,Sieve='Sieve';Valve='Valve';BubbleCap='BubbleCap'
idaes/models/costing/SSLW.py,130,TrayMaterial,StrEnum,5,CarbonSteel='CarbonSteel';StainlessSteel303='StainlessSteel303';StainlessSteel316='StainlessSteel316';Carpenter20CB3='Carpenter20CB3';Monel='Monel'
idaes/models/costing/SSLW.py,142,HeaterMaterial,StrEnum,3,CarbonSteel='CarbonSteel';CrMoSteel='CrMoSteel';StainlessSteel='StainlessSteel'
idaes/models/costing/SSLW.py,152,HeaterSource,StrEnum,7,Fuel='Fuel';Reformer='Reformer';Pyrolysis='Pyrolysis';HotWater='HotWater';Salts='Salts';DowthermA='DowthermA';steamBoiler='SteamBoiler'
idaes/models/costing/SSLW.py,166,CompressorType,StrEnum,3,Centrifugal='Centrifugal';Reciprocating='Reciprocating';Screw='Screw'
idaes/models/costing/SSLW.py,176,CompressorDriveType,StrEnum,3,ElectricMotor='ElectricMotor';SteamTurbine='SteamTurbine';gasTurbine='GasTurbine'
idaes/models/costing/SSLW.py,186,CompressorMaterial,StrEnum,3,CarbonSteel='CarbonSteel';StainlessSteel='StainlessSteel';NickelAlloy='NickelAlloy'
idaes/models/costing/SSLW.py,196,PumpMaterial,StrEnum,11,CastIron='CastIron';DuctileIron='DuctileIron';CastSteel='CastSteel';Bronze='Bronze';StainlessSteel='StainlessSteel';HastelloyC='HastelloyC';Monel='Monel';Nickel='Nickel';Titanium='Titanium';NiAlBronze='NiAlBronze';CarbonSteel='CarbonSteel'
idaes/models/costing/SSLW.py,214,PumpType,StrEnum,3,Centrifugal='Centrifugal';ExternalGear='ExternalGear';Reciprocating='Reciprocating'
idaes/models/costing/SSLW.py,224,PumpMotorType,StrEnum,3,Open='open';Enclosed='enclosed';ExplosionProof='explosion_proof'
idaes/models/costing/SSLW.py,234,FanType,StrEnum,4,CentrifugalBackward='CentrifugalBackward';CentrifugalStraight='CentrifugalStraight';VaneAxial='VaneAxial';TubeAxial='TubeAxial'
idaes/models/costing/SSLW.py,245,FanMaterial,StrEnum,4,CarbonSteel='CarbonSteel';Fiberglass='Fiberglass';StainlessSteel='StainlessSteel';NickelAlloy='NickelAlloy'
idaes/models/costing/SSLW.py,256,BlowerType,StrEnum,2,Centrifugal='Centrifugal';Rotary='Rotary'
idaes/models/costing/SSLW.py,265,BlowerMaterial,StrEnum,5,CarbonSteel='CarbonSteel';Aluminum='Aluminum';Fiberglass='Fiberglass';StainlessSteel='StainlessSteel';NickelAlloy='NickelAlloy'
idaes/models/properties/modular_properties/base/utility.py,39,StateIndex,Enum,2,true=1;apparent=2
idaes/models/properties/modular_properties/base/utility.py,252,ConcentrationForm,Enum,6,molarity=1;activity=2;molality=3;moleFraction=4;massFraction=5;partialPressure=6
idaes/models/properties/modular_properties/eos/ceos.py,75,MixingRuleA,Enum,1,default=0
idaes/models/properties/modular_properties/eos/ceos.py,82,MixingRuleB,Enum,1,default=0
idaes/models/properties/modular_properties/phase_equil/henry.py,34,HenryType,Enum,5,Hcp=1;Kpc=51;Hxp=2;Kpx=52;Dummy=999
idaes/models/unit_models/feed_flash.py,42,FlashType,Enum,2,isothermal=1;isenthalpic=2
idaes/models/unit_models/heat_exchanger.py,59,HeatExchangerFlowPattern,Enum,3,countercurrent=1;cocurrent=2;crossflow=3
idaes/models/unit_models/mixer.py,66,MixingType,Enum,2,none=0;extensive=1
idaes/models/unit_models/mixer.py,75,MomentumMixingType,Enum,4,none=0;minimize=1;equality=2;minimize_and_equality=3
idaes/models/unit_models/pressure_changer.py,65,ThermodynamicAssumption,Enum,4,isothermal=1;isentropic=2;pump=3;adiabatic=4
idaes/models/unit_models/separator.py,72,SplittingType,Enum,4,totalFlow=1;phaseFlow=2;componentFlow=3;phaseComponentFlow=4
idaes/models/unit_models/separator.py,83,EnergySplittingType,Enum,4,none=0;equal_temperature=1;equal_molar_enthalpy=2;enthalpy_split=3
idaes/models/unit_models/valve.py,42,ValveFunctionType,Enum,3,linear=1;quick_opening=2;equal_percentage=3
idaes/models_extra/co2_capture_and_utilization/unit_models/membrane_1d.py,43,MembraneFlowPattern,Enum,2,COUNTERCURRENT=1;COCURRENT=2
idaes/models_extra/column_models/condenser.py,60,CondenserType,Enum,2,totalCondenser=0;partialCondenser=1
idaes/models_extra/column_models/condenser.py,69,TemperatureSpec,Enum,2,atBubblePoint=0;customTemperature=1
idaes/models_extra/power_generation/unit_models/boiler_heat_exchanger.py,89,TubeArrangement,Enum,2,inLine=0;staggered=1
idaes/models_extra/power_generation/unit_models/helm/valve_steam.py,37,ValveFunctionType,Enum,4,linear=1;quick_opening=2;equal_percentage=3;custom=4
idaes/models_extra/temperature_swing_adsorption/fixed_bed_tsa0d.py,92,Adsorbent,Enum,3,zeolite_13x=1;mmen_mg_mof_74=2;polystyrene_amine=3
idaes/models_extra/temperature_swing_adsorption/fixed_bed_tsa0d.py,102,SteamCalculationType,Enum,3,none=0;simplified=1;rigorous=2
idaes/models_extra/temperature_swing_adsorption/fixed_bed_tsa0d.py,112,TransformationScheme,Enum,4,useDefault=0;backward=1;forward=2;lagrangeRadau=3
