file,line,class,method,owner,message
idaes/apps/caprese/common/config.py,132,,get_ncp,get_ncp,NotImplementedError('%s discretization scheme is not supported' % scheme)
idaes/apps/caprese/dynamic_block.py,903,SquareSolveContext,__enter__,SquareSolveContext.__enter__,NotImplementedError('Unrecognized input option')
idaes/apps/caprese/nmpc_var.py,40,NmpcVar,__init__,NmpcVar.__init__,NotImplementedError('%s component must be indexed by at least one set.' % self.__class__)
idaes/apps/grid_integration/bidder.py,1374,ParametrizedBidder,compute_day_ahead_bids,ParametrizedBidder.compute_day_ahead_bids,NotImplementedError
idaes/apps/grid_integration/bidder.py,1384,ParametrizedBidder,compute_real_time_bids,ParametrizedBidder.compute_real_time_bids,NotImplementedError
idaes/apps/grid_integration/coordinator.py,442,DoubleLoopCoordinator,_update_static_params,DoubleLoopCoordinator._update_static_params,"NotImplementedError(""generator_type must be either 'thermal' or 'renewable'"")"
idaes/apps/grid_integration/pricetaker/price_taker_model.py,553,PriceTakerModel,update_operation_params,PriceTakerModel.update_operation_params,NotImplementedError('This method is not supported for num_representative_days > 1')
idaes/apps/grid_integration/pricetaker/price_taker_model.py,1369,PriceTakerModel,plot_lmp_histogram,PriceTakerModel.plot_lmp_histogram,NotImplementedError('LMP histograms are not supported currently')
idaes/apps/matopt/materials/bblock.py,22,BBlock,__eq__,BBlock.__eq__,NotImplementedError
idaes/apps/matopt/materials/bblock.py,26,BBlock,__le__,BBlock.__le__,NotImplementedError
idaes/apps/matopt/materials/geometry.py,162,Shape,isInShape,Shape.isInShape,NotImplementedError
idaes/apps/matopt/materials/geometry.py,169,Shape,getBounds,Shape.getBounds,NotImplementedError
idaes/apps/matopt/materials/lattices/diamond_lattice.py,252,DiamondLattice,getLayerSpacing,DiamondLattice.getLayerSpacing,NotImplementedError('DiamondLattice.getLayerSpacing: Input direction is not supported.')
idaes/apps/matopt/materials/lattices/diamond_lattice.py,266,DiamondLattice,getShellSpacing,DiamondLattice.getShellSpacing,NotImplementedError('DiamondLattice.getShellSpacing: Input direction is not supported.')
idaes/apps/matopt/materials/lattices/diamond_lattice.py,282,DiamondLattice,getUniqueLayerCount,DiamondLattice.getUniqueLayerCount,NotImplementedError('DiamondLattice.getUniqueLayerCount: Input direction is not supported.')
idaes/apps/matopt/materials/lattices/lattice.py,81,Lattice,isOnLattice,Lattice.isOnLattice,NotImplementedError
idaes/apps/matopt/materials/lattices/lattice.py,85,Lattice,areNeighbors,Lattice.areNeighbors,NotImplementedError
idaes/apps/matopt/materials/lattices/lattice.py,89,Lattice,getNeighbors,Lattice.getNeighbors,NotImplementedError
idaes/apps/matopt/materials/lattices/perovskite_lattice.py,73,PerovskiteLattice,areNeighbors,PerovskiteLattice.areNeighbors,NotImplementedError('PerovskiteLattice: there is no universal definition of nearest neighbors.')
