file,kind,role,loc,bytes,doc,doc_file,rule
idaes/__init__.py,module,source,222,,02,02_runtime_platform_and_cli.md,^idaes/(__init__|config|logger|beta)\.py$
idaes/apps/__init__.py,module,source,0,,02,02_runtime_platform_and_cli.md,^idaes/(apps|models|models_extra)/__init__\.py$
idaes/beta.py,module,source,89,,02,02_runtime_platform_and_cli.md,^idaes/(__init__|config|logger|beta)\.py$
idaes/commands/__init__.py,module,source,48,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/base.py,module,source,122,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/config.py,module,source,61,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/convergence.py,module,source,146,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/data_directory.py,module,source,52,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/env_info.py,module,source,41,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/examples.py,module,source,49,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/extensions.py,module,source,284,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/run_flowsheet.py,module,source,20,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/util/__init__.py,module,source,0,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/commands/util/download_bin.py,module,source,410,,02,02_runtime_platform_and_cli.md,^idaes/commands/
idaes/config.py,module,source,763,,02,02_runtime_platform_and_cli.md,^idaes/(__init__|config|logger|beta)\.py$
idaes/core/__init__.py,module,source,54,,02,02_runtime_platform_and_cli.md,^idaes/core/__init__\.py$
idaes/logger.py,module,source,297,,02,02_runtime_platform_and_cli.md,^idaes/(__init__|config|logger|beta)\.py$
idaes/models/__init__.py,module,source,0,,02,02_runtime_platform_and_cli.md,^idaes/(apps|models|models_extra)/__init__\.py$
idaes/models_extra/__init__.py,module,source,0,,02,02_runtime_platform_and_cli.md,^idaes/(apps|models|models_extra)/__init__\.py$
idaes/core/base/__init__.py,module,source,0,,03,03_block_hierarchy_and_construction_protocol.md,^idaes/core/base/
idaes/core/base/flowsheet_model.py,module,source,379,,03,03_block_hierarchy_and_construction_protocol.md,^idaes/core/base/
idaes/core/base/process_base.py,module,source,660,,03,03_block_hierarchy_and_construction_protocol.md,^idaes/core/base/
idaes/core/base/process_block.py,module,source,229,,03,03_block_hierarchy_and_construction_protocol.md,^idaes/core/base/
idaes/core/base/unit_model.py,module,source,653,,03,03_block_hierarchy_and_construction_protocol.md,^idaes/core/base/
