file,marker,count
idaes/apps/caprese/tests/test_categorize.py,unit,5
idaes/apps/caprese/tests/test_categorize_cstr.py,unit,5
idaes/apps/caprese/tests/test_controller.py,component,3
idaes/apps/caprese/tests/test_controller.py,skipif,3
idaes/apps/caprese/tests/test_controller.py,unit,5
idaes/apps/caprese/tests/test_dynamic_block.py,component,3
idaes/apps/caprese/tests/test_dynamic_block.py,skipif,2
idaes/apps/caprese/tests/test_dynamic_block.py,unit,25
idaes/apps/caprese/tests/test_nmpc_var.py,unit,3
idaes/apps/caprese/tests/test_rolling.py,unit,14
idaes/apps/caprese/tests/test_simple_model.py,unit,1
idaes/apps/caprese/tests/test_util.py,component,2
idaes/apps/caprese/tests/test_util.py,skipif,1
idaes/apps/caprese/tests/test_util.py,unit,6
idaes/apps/grid_integration/multiperiod/tests/test_multiperiod.py,unit,15
idaes/apps/grid_integration/pricetaker/tests/test_clustering.py,skipif,8
idaes/apps/grid_integration/pricetaker/tests/test_clustering.py,unit,12
idaes/apps/grid_integration/pricetaker/tests/test_design_and_operation_models.py,unit,16
idaes/apps/grid_integration/pricetaker/tests/test_price_taker_model.py,skipif,12
idaes/apps/grid_integration/pricetaker/tests/test_price_taker_model.py,unit,41
idaes/apps/grid_integration/pricetaker/tests/test_unit_commitment.py,unit,9
idaes/apps/grid_integration/tests/test_PEM_Parameterized_bidder.py,component,2
idaes/apps/grid_integration/tests/test_PEM_Parameterized_bidder.py,skipif,2
idaes/apps/grid_integration/tests/test_PEM_Parameterized_bidder.py,unit,1
idaes/apps/grid_integration/tests/test_backcaster.py,parametrize,2
idaes/apps/grid_integration/tests/test_backcaster.py,unit,16
idaes/apps/grid_integration/tests/test_bidder.py,component,3
idaes/apps/grid_integration/tests/test_bidder.py,skipif,3
idaes/apps/grid_integration/tests/test_bidder.py,unit,4
idaes/apps/grid_integration/tests/test_coordinator.py,unit,2
idaes/apps/grid_integration/tests/test_integration.py,integration,1
idaes/apps/grid_integration/tests/test_integration.py,unit,2
idaes/apps/grid_integration/tests/test_model_data.py,parametrize,6
idaes/apps/grid_integration/tests/test_model_data.py,unit,16
idaes/apps/grid_integration/tests/test_perfectforecaster.py,component,1
idaes/apps/grid_integration/tests/test_perfectforecaster.py,parametrize,1
idaes/apps/grid_integration/tests/test_perfectforecaster.py,unit,6
idaes/apps/grid_integration/tests/test_tracker.py,component,2
idaes/apps/grid_integration/tests/test_tracker.py,skipif,1
idaes/apps/grid_integration/tests/test_tracker.py,unit,4
idaes/apps/matopt/tests/test_matopt_expression_bounds.py,unit,2
idaes/apps/matopt/tests/test_matopt_objects_construction.py,unit,34
idaes/apps/matopt/tests/test_matopt_objects_functionality.py,unit,4
idaes/apps/matopt/tests/test_matopt_smoke.py,unit,1
idaes/apps/nmpc/dynamic_data/tests/test_interval_data.py,unit,3
idaes/apps/nmpc/tests/test_cost_expressions.py,unit,1
idaes/apps/uncertainty_propagation/tests/test_uncertainties.py,component,4
idaes/apps/uncertainty_propagation/tests/test_uncertainties.py,integration,2
idaes/apps/uncertainty_propagation/tests/test_uncertainties.py,skipif,3
idaes/apps/uncertainty_propagation/tests/test_uncertainties.py,unit,6
