file,package,loc,role,n_classes,n_functions,has_docstring,parse_error
idaes/__init__.py,idaes,222,source,2,8,True,False
idaes/apps/__init__.py,idaes/apps,0,source,0,0,False,False
idaes/apps/caprese/categorize.py,idaes/apps/caprese,447,source,0,6,True,False
idaes/apps/caprese/common/config.py,idaes/apps/caprese/common,132,source,9,4,True,False
idaes/apps/caprese/controller.py,idaes/apps/caprese,338,source,4,1,True,False
idaes/apps/caprese/dynamic_block.py,idaes/apps/caprese,927,source,5,0,True,False
idaes/apps/caprese/examples/cstr_model.py,idaes/apps/caprese/examples,162,source,0,1,True,False
idaes/apps/caprese/examples/cstr_nmpc.py,idaes/apps/caprese/examples,244,source,1,1,True,False
idaes/apps/caprese/examples/cstr_reduced.py,idaes/apps/caprese/examples,415,source,1,1,True,False
idaes/apps/caprese/nmpc.py,idaes/apps/caprese,108,source,1,0,True,False
idaes/apps/caprese/nmpc_var.py,idaes/apps/caprese,145,source,8,0,True,False
idaes/apps/caprese/rolling.py,idaes/apps/caprese,288,source,2,0,True,False
idaes/apps/caprese/tests/test_categorize.py,idaes/apps/caprese/tests,441,test,0,5,True,False
idaes/apps/caprese/tests/test_categorize_cstr.py,idaes/apps/caprese/tests,565,test,0,5,True,False
idaes/apps/caprese/tests/test_controller.py,idaes/apps/caprese/tests,316,test,1,0,True,False
idaes/apps/caprese/tests/test_dynamic_block.py,idaes/apps/caprese/tests,1227,test,1,0,True,False
idaes/apps/caprese/tests/test_nmpc_var.py,idaes/apps/caprese/tests,144,test,0,3,True,False
idaes/apps/caprese/tests/test_rolling.py,idaes/apps/caprese/tests,389,test,2,1,True,False
idaes/apps/caprese/tests/test_simple_model.py,idaes/apps/caprese/tests,130,test,0,5,False,False
idaes/apps/caprese/tests/test_util.py,idaes/apps/caprese/tests,477,test,0,8,True,False
idaes/apps/caprese/util.py,idaes/apps/caprese,379,source,2,7,True,False
idaes/apps/grid_integration/__init__.py,idaes/apps/grid_integration,23,source,0,0,False,False
idaes/apps/grid_integration/bidder.py,idaes/apps/grid_integration,1704,source,6,0,False,False
idaes/apps/grid_integration/coordinator.py,idaes/apps/grid_integration,834,source,2,0,False,False
idaes/apps/grid_integration/examples/__init__.py,idaes/apps/grid_integration/examples,0,source,0,0,False,False
idaes/apps/grid_integration/examples/thermal_generator.py,idaes/apps/grid_integration/examples,800,source,1,0,False,False
idaes/apps/grid_integration/examples/thermal_generator_prescient_plugin.py,idaes/apps/grid_integration/examples,101,source,0,0,False,False
idaes/apps/grid_integration/examples/utils.py,idaes/apps/grid_integration/examples,133,source,0,0,False,False
idaes/apps/grid_integration/forecaster.py,idaes/apps/grid_integration,794,source,6,0,False,False
idaes/apps/grid_integration/model_data.py,idaes/apps/grid_integration,414,source,7,0,False,False
idaes/apps/grid_integration/multiperiod/__init__.py,idaes/apps/grid_integration/multiperiod,0,source,0,0,False,False
idaes/apps/grid_integration/multiperiod/multiperiod.py,idaes/apps/grid_integration/multiperiod,683,source,1,0,False,False
idaes/apps/grid_integration/multiperiod/tests/__init__.py,idaes/apps/grid_integration/multiperiod/tests,0,test,0,0,False,False
idaes/apps/grid_integration/multiperiod/tests/test_multiperiod.py,idaes/apps/grid_integration/multiperiod/tests,596,test,0,29,True,False
idaes/apps/grid_integration/pricetaker/__init__.py,idaes/apps/grid_integration/pricetaker,0,source,0,0,False,False
idaes/apps/grid_integration/pricetaker/clustering.py,idaes/apps/grid_integration/pricetaker,335,source,0,5,True,False
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,idaes/apps/grid_integration/pricetaker,687,source,3,5,False,False
idaes/apps/grid_integration/pricetaker/price_taker_model.py,idaes/apps/grid_integration/pricetaker,1369,source,1,0,False,False
idaes/apps/grid_integration/pricetaker/tests/__init__.py,idaes/apps/grid_integration/pricetaker/tests,0,test,0,0,False,False
idaes/apps/grid_integration/pricetaker/tests/test_clustering.py,idaes/apps/grid_integration/pricetaker/tests,285,test,0,14,False,False
idaes/apps/grid_integration/pricetaker/tests/test_design_and_operation_models.py,idaes/apps/grid_integration/pricetaker/tests,547,test,0,16,False,False
idaes/apps/grid_integration/pricetaker/tests/test_price_taker_model.py,idaes/apps/grid_integration/pricetaker/tests,1474,test,0,47,False,False
idaes/apps/grid_integration/pricetaker/tests/test_unit_commitment.py,idaes/apps/grid_integration/pricetaker/tests,569,test,0,9,False,False
idaes/apps/grid_integration/pricetaker/unit_commitment.py,idaes/apps/grid_integration/pricetaker,301,source,1,3,True,False
idaes/apps/grid_integration/tests/__init__.py,idaes/apps/grid_integration/tests,0,test,0,0,False,False
idaes/apps/grid_integration/tests/self_scheduler_integration_test_plugin.py,idaes/apps/grid_integration/tests,33,test,0,0,False,False
idaes/apps/grid_integration/tests/test_PEM_Parameterized_bidder.py,idaes/apps/grid_integration/tests,203,test,0,5,False,False
idaes/apps/grid_integration/tests/test_backcaster.py,idaes/apps/grid_integration/tests,327,test,4,19,False,False
idaes/apps/grid_integration/tests/test_bidder.py,idaes/apps/grid_integration/tests,361,test,1,9,False,False
idaes/apps/grid_integration/tests/test_coordinator.py,idaes/apps/grid_integration/tests,156,test,0,3,False,False
