file,line,data_class,generated_class,block_class,bases
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,136,DesignModelData,DesignModel,,ProcessBlockData
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,288,OperationModelData,OperationModel,,ProcessBlockData
idaes/apps/grid_integration/pricetaker/design_and_operation_models.py,562,StorageModelData,StorageModel,,ProcessBlockData
idaes/core/base/components.py,36,ComponentData,Component,,ProcessBlockData
idaes/core/base/components.py,347,SoluteData,Solute,Component,ComponentData
idaes/core/base/components.py,391,SolventData,Solvent,Component,ComponentData
idaes/core/base/components.py,433,IonData,Ion,Component,SoluteData
idaes/core/base/components.py,481,AnionData,Anion,Component,IonData
idaes/core/base/components.py,515,CationData,Cation,Component,IonData
idaes/core/base/components.py,549,ApparentData,Apparent,Component,SoluteData
idaes/core/base/control_volume0d.py,164,ControlVolume0DBlockData,ControlVolume0DBlock,,ControlVolumeBlockData
idaes/core/base/control_volume1d.py,356,ControlVolume1DBlockData,ControlVolume1DBlock,,ControlVolumeBlockData
idaes/core/base/control_volume_base.py,973,ControlVolumeBlockData,ControlVolume,,ProcessBlockData
idaes/core/base/costing_base.py,196,FlowsheetCostingBlockData,FlowsheetCostingBlock,,ProcessBlockData
idaes/core/base/costing_base.py,594,UnitModelCostingBlockData,UnitModelCostingBlock,,ProcessBlockData
idaes/core/base/extended_control_volume0d.py,38,ExtendedControlVolume0DBlockData,ExtendedControlVolume0DBlock,,ControlVolume0DBlockData
idaes/core/base/extended_control_volume1d.py,39,ExtendedControlVolume1DBlockData,ExtendedControlVolume1DBlock,,ControlVolume1DBlockData
idaes/core/base/flowsheet_model.py,99,FlowsheetBlockData,FlowsheetBlock,,ProcessBlockData
idaes/core/base/phases.py,47,PhaseData,Phase,,ProcessBlockData
idaes/core/base/phases.py,171,LiquidPhaseData,LiquidPhase,Phase,PhaseData
idaes/core/base/phases.py,187,SolidPhaseData,SolidPhase,Phase,PhaseData
idaes/core/base/phases.py,203,VaporPhaseData,VaporPhase,Phase,PhaseData
idaes/core/base/phases.py,219,AqueousPhaseData,AqueousPhase,LiquidPhase,LiquidPhaseData
idaes/core/base/process_base.py,78,ProcessBlockData,ProcessBaseBlock,,BlockData
idaes/core/base/unit_model.py,54,UnitModelBlockData,UnitModelBlock,,ProcessBlockData
idaes/core/util/testing.py,185,_PhysicalParameterBlock,PhysicalParameterTestBlock,,PhysicalParameterBlock
idaes/core/util/testing.py,282,StateTestBlockData,StateBlockForTesting,SBlockBase,StateBlockData
idaes/core/util/testing.py,397,_ReactionParameterBlock,ReactionParameterTestBlock,,ReactionParameterBlock
idaes/core/util/testing.py,461,ReactionBlockData,ReactionBlock,RBlockBase,ReactionBlockDataBase
idaes/models/control/controller.py,84,PIDControllerData,PIDController,,UnitModelBlockData
